,Date,Open,High,Low,Close,Volume,Market_Cap,Spread,Month_Year,Unemployment_Percentage,USDI,Y_Average,DOW_Close,NASDAQ_Close,SP500_Close,Average_Close
309,2014-03-03,562.56,702.91,560.52,667.76,96056896.0,8326933812.0,142.39,2014-03,6.7,80.08,623.4375,16168.03027,4277.299805,1845.72998,7430.353351666666
310,2014-03-04,668.24,696.22,655.68,666.78,55344600.0,8317230356.0,40.54,2014-03,6.7,80.17,671.73,16395.88086,4351.970215,1873.910034,7540.587036333334
311,2014-03-05,666.24,674.28,646.28,665.51,22461900.0,8304000852.0,28.0,2014-03,6.7,80.11,663.0775,16360.17969,4357.970215,1873.810059,7530.653321333334
312,2014-03-06,664.52,669.77,649.79,663.86,16068100.0,8286267327.0,19.98,2014-03,6.7,79.66,661.985,16421.89063,4352.129883,1877.030029,7550.350180666668
313,2014-03-07,664.31,665.34,616.35,629.15,34150800.0,7855629815.0,48.99,2014-03,6.7,79.72,643.7875,16452.7207,4336.220215,1878.040039,7555.660318000001
316,2014-03-10,636.33,644.76,615.02,627.79,20639800.0,7846433315.0,29.74,2014-03,6.7,79.77,630.975,16418.67969,4334.450195,1877.1700440000002,7543.433309666667
317,2014-03-11,627.95,638.42,618.84,634.11,11732500.0,7928102950.0,19.58,2014-03,6.7,79.74,629.83,16351.25,4307.189941,1867.630005,7508.689982
318,2014-03-12,631.91,648.03,629.51,632.1,18621200.0,7905832725.0,18.52,2014-03,6.7,79.61,635.3875,16340.080080000002,4323.330078,1868.199951,7510.536703000001
319,2014-03-13,633.62,644.2,630.85,638.14,11634900.0,7983960982.0,13.35,2014-03,6.7,79.62,636.7025,16108.88965,4260.419922,1846.339966,7405.216512666666
320,2014-03-14,638.14,639.53,627.21,628.8,11913800.0,7869180480.0,12.32,2014-03,6.7,79.45,633.4200000000001,16065.669919999998,4245.399902,1841.130005,7384.066608999999
323,2014-03-17,630.92,632.68,616.85,622.37,14648200.0,7796513249.0,15.83,2014-03,6.7,79.39,625.7049999999999,16247.21973,4279.950195,1858.8299559999998,7461.9999603333345
324,2014-03-18,621.84,622.39,603.8,614.83,24011500.0,7704183118.0,18.59,2014-03,6.7,79.41,615.715,16336.19043,4333.310059,1872.25,7513.916829666668
325,2014-03-19,613.9,622.0,609.1,609.89,14228900.0,7644702125.0,12.9,2014-03,6.7,80.0,613.7225,16222.169919999998,4307.600098,1860.77002,7463.513346
326,2014-03-20,609.74,609.74,587.49,588.77,20572900.0,7382675346.0,22.25,2014-03,6.7,80.19,598.935,16331.049809999999,4319.290039,1872.0100100000002,7507.449953
327,2014-03-21,588.29,604.59,561.81,571.49,38414100.0,7168656262.0,42.78,2014-03,6.7,80.11,581.5450000000001,16302.769530000001,4276.790039,1866.52002,7482.026529666667
330,2014-03-24,562.51,586.56,551.77,583.41,22706900.0,7326517067.0,34.79,2014-03,6.7,79.93,571.0625,16276.69043,4226.390136999999,1857.439941,7453.5068360000005
331,2014-03-25,585.03,585.44,572.6,583.92,14020100.0,7335179952.0,12.84,2014-03,6.7,79.94,581.7475000000001,16367.87988,4234.27002,1865.619995,7489.256631666667
332,2014-03-26,583.48,590.03,570.96,580.83,16401100.0,7298672082.0,19.07,2014-03,6.7,80.03,581.325,16268.990230000001,4173.580078,1852.560059,7431.710122333334
333,2014-03-27,580.26,580.56,471.24,471.24,62225400.0,5923615602.0,109.32,2014-03,6.7,80.11,525.825,16264.230469999999,4151.22998,1849.040039,7421.500163
334,2014-03-28,477.14,526.02,473.23,495.67,58828300.0,6232801684.0,52.79,2014-03,6.7,80.18,493.015,16323.05957,4155.759765999999,1857.619995,7445.4797770000005
337,2014-03-31,462.3,483.02,443.36,457.0,28254000.0,5752294437.0,39.66,2014-03,6.7,80.1,461.41999999999996,16457.66016,4198.990234000001,1872.339966,7509.663453333334
338,2014-04-01,457.0,495.34,457.0,478.38,35685800.0,6023351178.0,38.34,2014-04,6.2,80.09,471.92999999999995,16532.60938,4268.040039,1885.52002,7562.056479666667
339,2014-04-02,479.14,495.05,431.27,437.14,49647600.0,5506313797.0,63.78,2014-04,6.2,80.22,460.65,16573.0,4276.459961,1890.9000239999998,7580.119995
340,2014-04-03,436.44,449.57,414.89,444.72,40765500.0,5604036051.0,34.68,2014-04,6.2,80.47,436.40500000000003,16572.55078,4237.740234000001,1888.77002,7566.353678
341,2014-04-04,445.66,454.65,429.09,447.53,22925500.0,5641613449.0,25.56,2014-04,6.2,80.42,444.23249999999996,16412.71094,4127.72998,1865.089966,7468.5102953333335
344,2014-04-07,461.47,462.56,445.12,449.42,15616600.0,5670830650.0,17.44,2014-04,6.2,80.23,454.64250000000004,16245.87012,4079.75,1845.040039,7390.220053
345,2014-04-08,447.61,457.42,446.11,453.09,10921600.0,5718579640.0,11.31,2014-04,6.2,79.75,451.05749999999995,16256.13965,4112.990234000001,1851.959961,7407.029948333334
346,2014-04-09,453.18,455.73,441.93,442.73,13204400.0,5589580215.0,13.8,2014-04,6.2,79.48,448.39250000000004,16437.17969,4183.899902,1872.180054,7497.753215333334
347,2014-04-10,442.26,443.37,358.73,365.18,55868300.0,4611917257.0,84.64,2014-04,6.2,79.38,402.38500000000005,16170.21973,4054.110107,1833.0799559999998,7352.4699310000005
348,2014-04-11,363.71,429.77,351.27,420.95,62562800.0,5318033925.0,78.5,2014-04,6.2,79.45,391.425,16026.75,3999.7299799999996,1815.689941,7280.723307
351,2014-04-14,414.83,469.75,407.37,458.79,50730200.0,5802302128.0,62.38,2014-04,6.2,79.73,437.68499999999995,16173.240230000001,4022.6899409999996,1830.609985,7342.180052
352,2014-04-15,458.37,519.0,453.54,515.59,49561000.0,6522974948.0,65.46,2014-04,6.2,79.8,486.625,16262.55957,4034.1599119999996,1842.97998,7379.8998206666665
353,2014-04-16,522.18,542.38,502.78,527.4,56480100.0,6674473792.0,39.6,2014-04,6.2,79.8,523.685,16424.84961,4086.2299799999996,1862.310059,7457.796549666667
354,2014-04-17,529.07,533.52,484.87,495.96,34025500.0,6278792387.0,48.65,2014-04,6.2,79.83,510.855,16408.53906,4095.5200200000004,1864.8499760000002,7456.3030186666665
